zone,corridor,junction,event_cause,duration_mins
Unknown,Tumkur Road,,vehicle_breakdown,120.0
Unknown,ORR East 1,,vehicle_breakdown,120.0
Central Zone 2,Non-corridor,UrvashiJunction,others,1440.0
Unknown,Non-corridor,,tree_fall,1440.0
Unknown,Non-corridor,LalbaghMainGateJunc,vehicle_breakdown,38.74983805
North Zone 1,Non-corridor,,accident,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Non-corridor,,others,1440.0
Unknown,CBD 2,QueensStatueCircle,public_event,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,ORR East 2,,water_logging,1440.0
Unknown,ORR West 1,MysoreRd-RingRdJunc(Nayandanahallii),vehicle_breakdown,120.0
Unknown,ORR East 2,,water_logging,120.0
North Zone 1,ORR North 1,HebbalFlyoverJunc,others,1440.0
Unknown,Old Madras Road,,pot_holes,120.0
Unknown,Bellary Road 2,,others,120.0
Unknown,Bellary Road 2,,others,120.0
Unknown,ORR North 1,,others,120.0
Unknown,Non-corridor,,tree_fall,293.3450075
Unknown,Bellary Road 1,,vehicle_breakdown,120.0
Unknown,Hosur Road,,vehicle_breakdown,27.2487523
Unknown,Non-corridor,,tree_fall,1440.0
South Zone 1,Non-corridor,28thMainJayanagarJunc,pot_holes,1440.0
Unknown,Non-corridor,,pot_holes,120.0
Unknown,Non-corridor,,water_logging,120.0
Unknown,Non-corridor,,tree_fall,843.3240253
Unknown,Non-corridor,,pot_holes,120.0
Unknown,Bannerghata Road,,vehicle_breakdown,120.0
Unknown,Non-corridor,,pot_holes,10.0
Unknown,Non-corridor,,pot_holes,120.0
Unknown,Non-corridor,,pot_holes,120.0
Unknown,Bannerghata Road,,vehicle_breakdown,120.0
Unknown,Bannerghata Road,,vehicle_breakdown,120.0
Unknown,Non-corridor,,tree_fall,1440.0
Unknown,ORR North 2,,congestion,120.0
Unknown,Non-corridor,,pot_holes,120.0
Unknown,Magadi Road,,vehicle_breakdown,120.0
Unknown,Non-corridor,,accident,120.0
Unknown,Bannerghata Road,,vehicle_breakdown,120.0
Unknown,Non-corridor,,pot_holes,120.0
Unknown,ORR East 1,,construction,120.0
Unknown,Bellary Road 1,,others,106.41915116666668
Unknown,ORR East 1,,vehicle_breakdown,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
West Zone 1,Non-corridor,Peenya14thCrossJunc,vehicle_breakdown,120.0
Unknown,Non-corridor,,construction,120.0
Unknown,Tumkur Road,,vehicle_breakdown,120.0
Unknown,Tumkur Road,,others,133.52983253333335
Unknown,Bellary Road 1,,tree_fall,1440.0
Unknown,ORR East 1,,vehicle_breakdown,55.541728516666666
Unknown,IRR(Thanisandra road),,congestion,120.0
Unknown,Mysore Road,,vehicle_breakdown,120.0
Unknown,ORR East 2,,construction,120.0
Unknown,Bellary Road 1,,vehicle_breakdown,69.32987603333332
Unknown,West of Chord Road,,vehicle_breakdown,120.0
Unknown,Non-corridor,,road_conditions,61.27697078333333
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Non-corridor,,vehicle_breakdown,36.41233746666667
Unknown,Bellary Road 1,,tree_fall,1440.0
Unknown,Bellary Road 1,,tree_fall,1440.0
Unknown,Bellary Road 1,,tree_fall,1440.0
Unknown,ORR East 1,,vehicle_breakdown,120.0
Unknown,Non-corridor,,tree_fall,1440.0
Unknown,Non-corridor,,vehicle_breakdown,83.22766023333334
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,CBD 1,,pot_holes,120.0
Unknown,Non-corridor,,tree_fall,321.23818236666665
Unknown,Non-corridor,,pot_holes,120.0
Unknown,ORR North 1,,pot_holes,120.0
Unknown,West of Chord Road,,vehicle_breakdown,44.18835605
Unknown,West of Chord Road,,vehicle_breakdown,41.797760616666665
Unknown,Non-corridor,,vehicle_breakdown,26.158530816666666
Unknown,Magadi Road,,pot_holes,1440.0
Unknown,Non-corridor,,others,1440.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Non-corridor,,pot_holes,1440.0
Unknown,ORR East 1,,vehicle_breakdown,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Non-corridor,,others,15.88912515
Unknown,Non-corridor,,tree_fall,116.8119772
Unknown,ORR East 2,,construction,120.0
Unknown,Mysore Road,,others,1440.0
Unknown,Non-corridor,,others,1440.0
Unknown,Non-corridor,,pot_holes,1440.0
Unknown,Non-corridor,,vehicle_breakdown,83.47854003333333
Unknown,Mysore Road,,vehicle_breakdown,52.75157615
Unknown,ORR North 1,,vehicle_breakdown,74.82553706666666
Unknown,Non-corridor,,vehicle_breakdown,120.0
Unknown,Mysore Road,,water_logging,1440.0
Unknown,Magadi Road,,vehicle_breakdown,120.0
Unknown,Mysore Road,,vehicle_breakdown,120.0
Unknown,Mysore Road,,vehicle_breakdown,47.68990556666667
Unknown,ORR East 1,,vehicle_breakdown,120.0
Unknown,Non-corridor,,tree_fall,10.0
Unknown,Non-corridor,,tree_fall,120.0
Unknown,CBD 2,,others,120.0
Unknown,Non-corridor,,tree_fall,120.0
Unknown,Non-corridor,,tree_fall,1440.0
Unknown,Mysore Road,,tree_fall,1440.0
Unknown,Bellary Road 1,,vehicle_breakdown,120.0
Unknown,Non-corridor,,vehicle_breakdown,120.0
